SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Computer_Systems_Analysts,"RELIABLE SOFTWARE RESOURCES, INC.",404,87320,56402.45545,82710,56722
Database_Administrators,TATA CONSULTANCY SERVICES LIMITED,137,82280,62947.52555,80280,61797
Database_Administrators,WIPRO LIMITED,136,82280,69117.67647,80280,68453
Database_Administrators,LARSEN & TOUBRO INFOTECH LIMITED,50,82280,58421.6,80280,55213.5
Database_Administrators,"TECH MAHINDRA (AMERICAS), INC.",48,82280,70030.0625,80280,70689
Database_Administrators,HITACHI CONSULTING CORPORATION,33,82280,53702.84848,80280,51522
Database_Administrators,"TECH MAHINDRA (AMERICAS),INC.",35,82280,66129.05714,80280,64480
Database_Administrators,"IDHASOFT, INC.",30,82280,52904.3,80280,51293
Database_Administrators,SREE INFOTECH LLC,74,82280,51452.5,80280,52083
Database_Administrators,TEK SERVICES LLC,72,82280,62076.72222,80280,62046
Database_Administrators,SUNMERGE SYSTEMS INC.,45,82280,58770.24444,80280,56493
Electrical_Engineers,"QUALCOMM TECHNOLOGIES, INC.",21,95780,88178.44762,91410,85356
Electrical_Engineers,"INFOTECH ENTERPRISES AMERICA, INC.",7,95780,63024,91410,59821
Electrical_Engineers,"PRICOL TECHNOLOGIES, INC.",10,95780,63246.6,91410,61765.5
Electrical_Engineers,"QUALCOMM ATHEROS, INC.",6,95780,85711.86667,91410,85356
Electrical_Engineers,"SAMSUNG INFORMATION SYSTEMS AMERICA, INC.",9,95780,97386,91410,97386
Electrical_Engineers,"XILINX, INC.",6,95780,90619.33333,91410,85930
Electrical_Engineers,"FEV NORTH AMERICA, INC.",7,95780,56846,91410,56846
Electrical_Engineers,ALSTOM GRID INC.,5,95780,70934.4,91410,69025
Electrical_Engineers,"GLOBAL TECHNOLOGY ASSOCIATES, LLC",7,95780,65912.11429,91410,63710
Electrical_Engineers,"MAXLINEAR, INC.",7,95780,78445.85714,91410,83866
Electronics_Engineers_Except_Computer,INTEL CORPORATION,24,99660,86604,95790,79828
Electronics_Engineers_Except_Computer,"QUALCOMM TECHNOLOGIES, INC.",28,99660,86610.67857,95790,85356
Electronics_Engineers_Except_Computer,"INFOTECH ENTERPRISES AMERICA, INC.",6,99660,81692.33333,95790,80839.5
Electronics_Engineers_Except_Computer,"MOTOROLA SOLUTIONS, INC.",21,99660,72519.90476,95790,72238
Electronics_Engineers_Except_Computer,INTEL MOBILE COMMUNICATIONS NORTH AMERICA,18,99660,104313.9444,95790,106576.5
Electronics_Engineers_Except_Computer,"XILINX, INC.",10,99660,90648.7,95790,86518
Electronics_Engineers_Except_Computer,"CIRRUS LOGIC, INC.",31,99660,80775.25806,95790,81245
Electronics_Engineers_Except_Computer,TEXAS INSTRUMENTS INCORPORATED,16,99660,95138.0625,95790,97085
Electronics_Engineers_Except_Computer,"MICROCHIP TECHNOLOGY, INC.",8,99660,58333.375,95790,58406
Electronics_Engineers_Except_Computer,"ARM, INC.",7,99660,76303.14286,95790,67870
Financial_Analysts,DELOITTE CONSULTING LLP,1145,92250,66105.97293,78620,64189
Financial_Analysts,KPMG LLP,36,92250,65854.22222,78620,56742
Financial_Analysts,"PRICEWATERHOUSECOOPERS, LLP",47,92250,64256.78723,78620,56742
Financial_Analysts,"GOLDMAN, SACHS & CO.",144,92250,64861.90972,78620,66341.5
Financial_Analysts,MORGAN STANLEY & CO. LLC,148,92250,80284.09459,78620,67205
Financial_Analysts,JPMORGAN CHASE & CO.,58,92250,75774.77586,78620,67205
